property_id,property_name,country,contract_type,revpar_current,revpar_py,revpar_change_pct,revpar_budget,vs_budget_pct,trevpar_current,trevpar_py,trevpar_change_pct,period,source
RAD002,Radisson Collection Warsaw,Poland,Franchise,142.8,138.4,3.2,145.0,-1.5,198.4,192.1,3.3,2026-Q1,PMS Revenue Extract
RAD005,Radisson Blu Frankfurt Airport,Germany,Franchise,98.4,112.6,-12.6,118.0,-16.6,132.1,148.9,-11.3,2026-Q1,PMS Revenue Extract
RAD007,Radisson Hotel Hamburg,Germany,Franchise,81.2,93.4,-13.1,102.0,-20.4,108.5,121.8,-10.9,2026-Q1,PMS Revenue Extract
RAD008,Radisson & Suites Frankfurt,Germany,Franchise,72.4,78.1,-7.3,85.0,-14.8,94.2,99.4,-5.2,2026-Q1,PMS Revenue Extract
RAD009,Radisson Blu Hotel Wroclaw,Poland,Franchise,88.1,91.4,-3.6,95.0,-7.3,118.2,122.4,-3.4,2026-Q1,PMS Revenue Extract
RAD010,Radisson Hotel Krakow,Poland,Franchise,64.2,81.5,-21.2,88.0,-27.0,82.4,101.2,-18.6,2026-Q1,PMS Revenue Extract
RAD015,Radisson Hotel Glasgow,United Kingdom,Franchise,94.5,98.8,-4.4,105.0,-10.0,122.4,127.8,-4.2,2026-Q1,PMS Revenue Extract
RAD017,Radisson Blu Nantes,France,Franchise,87.4,86.2,1.4,90.0,-2.9,114.1,112.3,1.6,2026-Q1,PMS Revenue Extract
RAD021,Radisson Hotel Seville,Spain,Franchise,76.3,74.8,2.0,78.0,-2.2,99.7,97.4,2.4,2026-Q1,PMS Revenue Extract
RAD025,Radisson Blu Amsterdam Airport,Netherlands,Franchise,104.2,118.4,-12.0,122.0,-14.6,138.7,154.2,-10.1,2026-Q1,PMS Revenue Extract
