property_id,property_name,brand,city,country,region,owner_company,contract_type,gm_name,opening_date,rooms,reltio_id
RAD001,Radisson Blu Berlin Mitte,Radisson Blu,Berlin,Germany,EMEA Central,Berlin Hospitality Holdings,Management,Anonymised GM,2018-03-01,427,RLT-0001
RAD002,Radisson Collection Warsaw,Radisson Collection,Warsaw,Poland,EMEA Central,Polonia Estates SA,Franchise,Anonymised GM,2015-09-15,311,RLT-0002
RAD003,Park Inn Riyadh Centre,Park Inn by Radisson,Riyadh,Saudi Arabia,MEA,Saudi Real Estate Co,Management,Anonymised GM,2020-06-01,289,RLT-0003
RAD004,Radisson Blu Casablanca City,Radisson Blu,Casablanca,Morocco,MEA,Atlas Hotels Maroc,Management,Anonymised GM,2017-11-10,256,RLT-0004
RAD005,Radisson Blu Frankfurt Airport,Radisson Blu,Frankfurt,Germany,EMEA Central,DWS Real Estate GmbH,Franchise,Anonymised GM,2005-11-08,428,RLT-0005
RAD006,Radisson Blu Hotel Munich,Radisson Blu,Munich,Germany,EMEA Central,Bayerische Versorgungskammer,Franchise,Anonymised GM,2009-05-14,330,RLT-0006
RAD007,Radisson Hotel Hamburg,Radisson,Hamburg,Germany,EMEA Central,Warburg-HIH Invest GmbH,Franchise,Anonymised GM,2013-02-28,204,RLT-0007
RAD008,Radisson & Suites Frankfurt,Radisson,Frankfurt,Germany,EMEA Central,Union Investment Real Estate,Franchise,Anonymised GM,2020-09-01,166,RLT-0008
RAD009,Radisson Blu Hotel Wroclaw,Radisson Blu,Wroclaw,Poland,EMEA Central,Echo Investment SA,Franchise,Anonymised GM,2007-08-20,162,RLT-0009
RAD010,Radisson Hotel Krakow,Radisson,Krakow,Poland,EMEA Central,Globalworth Poland RE,Franchise,Anonymised GM,2015-07-01,143,RLT-0010
RAD011,Radisson Blu Hotel Gdansk,Radisson Blu,Gdansk,Poland,EMEA Central,Hines Poland Fund,Franchise,Anonymised GM,2011-03-12,185,RLT-0011
RAD012,Radisson Blu Hotel London Stansted,Radisson Blu,London,United Kingdom,EMEA West,Criterion Capital Ltd,Franchise,Anonymised GM,2006-03-20,500,RLT-0012
RAD013,Radisson Blu Edwardian Manchester,Radisson Blu,Manchester,United Kingdom,EMEA West,Edwardian Hotels London,Management,Anonymised GM,2004-10-05,263,RLT-0013
RAD014,Radisson RED Edinburgh,Radisson RED,Edinburgh,United Kingdom,EMEA West,CBRE Global Investors,Franchise,Anonymised GM,2018-06-12,174,RLT-0014
RAD015,Radisson Hotel Glasgow,Radisson,Glasgow,United Kingdom,EMEA West,M&G Real Estate,Franchise,Anonymised GM,2016-09-01,247,RLT-0015
RAD016,Radisson Blu Hotel Paris Boulogne,Radisson Blu,Paris,France,EMEA West,AXA Investment Managers,Franchise,Anonymised GM,2008-04-15,189,RLT-0016
RAD017,Radisson Blu Hotel Nantes,Radisson Blu,Nantes,France,EMEA West,Covivio SA,Franchise,Anonymised GM,2012-11-20,142,RLT-0017
RAD018,Radisson Hotel Nice,Radisson,Nice,France,EMEA West,Primonial REIM,Franchise,Anonymised GM,2019-03-08,121,RLT-0018
RAD019,Radisson Blu Hotel Barcelona,Radisson Blu,Barcelona,Spain,EMEA West,Inditex Real Estate,Franchise,Anonymised GM,2007-06-30,290,RLT-0019
RAD020,Radisson Blu Madrid Prado,Radisson Blu,Madrid,Spain,EMEA West,Merlin Properties SOCIMI,Franchise,Anonymised GM,2010-02-14,136,RLT-0020
RAD021,Radisson Hotel Seville,Radisson,Seville,Spain,EMEA West,Grupo Lar SOCIMI,Franchise,Anonymised GM,2017-08-22,155,RLT-0021
RAD022,Radisson Blu Hotel Milan,Radisson Blu,Milan,Italy,EMEA South,Generali Real Estate,Franchise,Anonymised GM,2006-09-10,360,RLT-0022
RAD023,Radisson Blu Hotel Rome,Radisson Blu,Rome,Italy,EMEA South,Beni Stabili SpA,Franchise,Anonymised GM,2009-12-01,234,RLT-0023
RAD024,Radisson Hotel Venice Mestre,Radisson,Venice,Italy,EMEA South,DeA Capital Real Estate,Franchise,Anonymised GM,2014-05-18,130,RLT-0024
RAD025,Radisson Blu Amsterdam Airport,Radisson Blu,Amsterdam,Netherlands,EMEA West,CBRE Global Investors NL,Franchise,Anonymised GM,2003-08-25,371,RLT-0025
RAD026,Radisson Blu Hotel Brussels,Radisson Blu,Brussels,Belgium,EMEA West,AG Real Estate,Franchise,Anonymised GM,2005-05-10,281,RLT-0026
RAD027,Radisson Blu Hotel Prague,Radisson Blu,Prague,Czech Republic,EMEA Central,Penta Investments,Franchise,Anonymised GM,2001-10-30,211,RLT-0027
RAD028,Radisson Blu Hotel Budapest,Radisson Blu,Budapest,Hungary,EMEA Central,GTC Hungary Kft,Franchise,Anonymised GM,2004-07-08,230,RLT-0028
RAD029,Radisson Blu Hotel Jeddah,Radisson Blu,Jeddah,Saudi Arabia,MEA,Kingdom Holding Company,Management,Anonymised GM,2012-03-15,315,RLT-0029
RAD030,Radisson Hotel Al Khobar,Radisson,Al Khobar,Saudi Arabia,MEA,Olayan Financing Company,Management,Anonymised GM,2016-11-20,183,RLT-0030
RAD031,Radisson Blu Marrakech Carré Eden,Radisson Blu,Marrakech,Morocco,MEA,CDG Invest,Franchise,Anonymised GM,2015-04-05,196,RLT-0031
RAD032,Radisson Blu Dubai Deira Creek,Radisson Blu,Dubai,United Arab Emirates,MEA,ENBD REIT,Management,Anonymised GM,2000-11-01,296,RLT-0032
